# Sibuya ladder (lab/sibuya_ladder.py): merged from the sequential and parallel range logs; checked by lab/sibuya_ladder_merge.py
#   j    deg W    shift c   status   time/index   source
     1        1        3   identity        0.0s   sibuya_ladder_log_2026-09-02.txt
     2        3        4         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
     3        5        5         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
     4        7        6         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
     5        9        7         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
     6       11        8         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
     7       13        9         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
     8       15       10         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
     9       17       11         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    10       19       12         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    11       21       13         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    12       23       14         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    13       25       15         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    14       27       16         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    15       29       17         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    16       31       18         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    17       33       19         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    18       35       20         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    19       37       21         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    20       39       22         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    21       41       23         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    22       43       24         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    23       45       25         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    24       47       26         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    25       49       27         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    26       51       28         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    27       53       29         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    28       55       30         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    29       57       31         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    30       59       32         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    31       61       33         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    32       63       34         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    33       65       35         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    34       67       36         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    35       69       37         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    36       71       38         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
    37       73       39         ok        0.0s   sibuya_ladder_log_2026-09-02.txt
