   x        N        j' = N-t     sigma^2     N g (approx)   target N/(3N+3-t)   margin
   20      10000        123.8       104.4        13.7333       0.4968      13.2365
   20     100000        169.9       150.3        73.6731       0.4996      73.1736
   20    1000000        215.9       196.4       448.4864       0.4999     447.9865
   20  100000000        308.0       288.5     21430.3712       0.5000   21429.8712
   50       1000        151.8       104.6         1.7677       0.4641       1.3036
   50      10000        264.7       215.4         7.5425       0.4934       7.0491
   50     100000        379.6       330.1        38.1449       0.4990      37.6459
   50    1000000        494.7       445.2       221.7587       0.4999     221.2588
   50  100000000        724.9       675.4     10014.4959       0.5000   10013.9959
  200       1000        357.9       191.8         0.8588       0.4236       0.4353
  200      10000        785.9       590.3         3.1228       0.4810       2.6418
  200     100000       1242.8      1043.7        14.3048       0.4969      13.8079
  200    1000000       1703.0      1503.5        76.7285       0.4996      76.2289
  200  100000000       2624.0      2424.5      3127.7163       0.5000    3127.2163
